iter	Logloss
0	0.6201981559
1	0.569927235
2	0.5350385913
3	0.5095289438
4	0.4891909522
5	0.4745916035
6	0.4625852827
7	0.4530056431
8	0.4452469069
9	0.4397901899
10	0.4351983299
11	0.430577133
12	0.4269749769
13	0.424633716
14	0.4213177958
15	0.4194234781
16	0.4164340815
17	0.4141076398
18	0.4132407665
19	0.4117876325
20	0.4104646349
21	0.4100395539
22	0.4097486086
23	0.4082234873
24	0.4074352803
25	0.4068079355
26	0.4058539024
27	0.4056696559
28	0.405183878
29	0.4034327951
30	0.4031949209
31	0.4021510515
32	0.4005214453
33	0.4003114092
34	0.4002937888
35	0.4002254402
36	0.3993316116
37	0.3988385642
38	0.398453908
39	0.3984481777
40	0.3981661465
41	0.3969740745
42	0.3963934007
43	0.3957931118
44	0.3943685126
45	0.3939300205
46	0.3938997497
47	0.3924449727
48	0.3920018755
49	0.3919730693
50	0.3913018457
51	0.3908237028
52	0.3904126114
53	0.3902437124
54	0.3900726408
55	0.3900000552
56	0.3898490043
57	0.389836191
58	0.3897919893
59	0.3897634854
60	0.3887989917
61	0.3887836252
62	0.3885053862
63	0.3884732216
64	0.3880955534
65	0.3875897483
66	0.3872549446
67	0.3872247677
68	0.3865315405
69	0.3862231361
