iter	Passed	Remaining
0	2	182
1	5	186
2	8	179
3	10	173
4	12	158
5	14	156
6	16	150
7	19	147
8	21	144
9	22	137
10	24	133
11	25	125
12	27	121
13	28	115
14	30	112
15	31	106
16	33	104
17	35	101
18	35	95
19	37	94
20	39	92
21	40	87
22	40	83
23	42	81
24	44	79
25	45	76
26	47	74
27	48	73
28	49	70
29	51	68
30	51	65
31	54	64
32	55	62
33	57	60
34	59	59
35	61	57
36	62	56
37	64	54
38	67	53
39	68	51
40	70	50
41	72	48
42	75	47
43	77	45
44	79	44
45	81	42
46	83	40
47	85	39
48	87	37
49	89	35
50	91	34
51	93	32
52	95	30
53	97	28
54	99	27
55	101	25
56	103	23
57	105	21
58	107	20
59	109	18
60	112	16
61	114	14
62	116	12
63	118	11
64	121	9
65	123	7
66	125	5
67	127	3
68	129	1
69	131	0
